Target,Model,Family,Input_Block,Benchmark_Source,Primary_Metric,Mean_Primary,Std_Primary,Method_Group
Tg,Graph_GCN_Fusion_film_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8600130409244932,0.0214100329526768,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_gated_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8599385589205024,0.0235614410192356,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_film_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8599306841159547,0.0232515290630109,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_weighted_sum_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8597802826329062,0.0279122895521454,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_concat_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8596379190705944,0.0285058590223646,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_gated_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8594799416533683,0.026391616532071,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_gated_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8594672037448865,0.0228802121061646,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_concat_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8594557866435611,0.0289906542223397,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_concat_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8592260307923576,0.0232206266526414,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_attention_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8591546893297348,0.0233104446837831,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_film_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8587448043312091,0.0219442270353755,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_film_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8583357764272866,0.0223924856448336,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_weighted_sum_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8582944943009764,0.0285903052392629,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_concat_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8582616725405874,0.027119012927813,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_weighted_sum_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8581252913556814,0.0234911631123464,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_attention_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8579910356190139,0.0280635491192624,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_attention_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8579282035400404,0.0235722402961183,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_weighted_sum_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8579087208367759,0.0238446149657864,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_gated_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8578788309477849,0.0245927361614093,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_weighted_sum_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8578504101331635,0.0199954871765942,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_attention_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8575789231714361,0.0238314723493353,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_gated_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8575265371476979,0.020963836692835,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_concat_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8574349857631992,0.0264812848761361,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_weighted_sum_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8573814324982036,0.0264143637018903,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_weighted_sum_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8570694979556761,0.0253155247999941,GraphDescriptor_Fusion
